epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1149,0.98342,2.33135,1.52522,0.00333,1,0.90122,0.72274,0.4242,2.92532,0.9333,0.00028,0.00028,0.00028
2,29.796,0.69489,1.55077,1.29937,0.8277,0.16658,0.73614,0.56549,0.64295,2.70766,1.20482,0.00056086,0.00056086,0.00056086
3,39.6057,0.60339,1.26085,1.22908,0.34847,0.68966,0.31389,0.19845,1.4808,3.10549,2.09918,0.00082192,0.00082192,0.00082192
4,50.6885,0.62571,1.14137,1.23239,0.36932,0.62069,0.41031,0.1902,1.00431,3.47107,1.59219,0.00106318,0.00106318,0.00106318
5,62.8649,0.6185,1.04164,1.26408,0.54115,0.61024,0.61796,0.38693,0.88001,3.29857,1.36931,0.00128464,0.00128464,0.00128464
6,73.5198,0.6365,1.0324,1.24883,0.62997,0.7931,0.72871,0.58211,0.639,3.29987,1.13798,0.0014863,0.0014863,0.0014863
